province_id,adjacent_province_id
AUS-2651,AUS-2655
AUS-2651,AUS-2650
AUS-2650,AUS-2655
AUS-2650,AUS-2651
AUS-2650,AUS-2657
AUS-2655,AUS-2656
AUS-2655,AUS-2654
AUS-2655,AUS-2651
AUS-2655,AUS-2657
AUS-2655,AUS-2650
AUS-2657,AUS-2654
AUS-2657,AUS-2655
AUS-2657,AUS-2650
AUS-2656,AUS-2654
AUS-2656,AUS-2655
AUS-2653,AUS-2654
AUS-1932,AUS-2654
AUS-2654,AUS-2656
AUS-2654,AUS-2653
AUS-2654,AUS-1932
AUS-2654,AUS-2655
AUS-2654,AUS-2657
BRA-576,BRA-595
BRA-576,BRA-592
BRA-595,BRA-602
BRA-595,BRA-576
BRA-595,BRA-592
BRA-670,BRA-592
BRA-670,BRA-594
BRA-592,BRA-602
BRA-592,BRA-595
BRA-592,BRA-576
BRA-592,BRA-594
BRA-592,BRA-670
BRA-594,BRA-602
BRA-594,BRA-596
BRA-594,BRA-593
BRA-594,BRA-592
BRA-594,BRA-681
BRA-594,BRA-670
BRA-600,BRA-1311
BRA-600,BRA-601
BRA-600,BRA-1294
BRA-600,BRA-613
BRA-600,BRA-602
BRA-681,BRA-594
BRA-602,BRA-1294
BRA-602,BRA-600
BRA-602,BRA-596
BRA-602,BRA-595
BRA-602,BRA-592
BRA-602,BRA-594
BRA-613,BRA-1311
BRA-613,BRA-614
BRA-613,BRA-600
BRA-599,BRA-601
BRA-599,BRA-1294
BRA-1294,BRA-601
BRA-1294,BRA-599
BRA-1294,BRA-600
BRA-1294,BRA-602
BRA-1294,BRA-624
BRA-1294,BRA-596
BRA-596,BRA-1294
BRA-596,BRA-602
BRA-596,BRA-624
BRA-596,BRA-622
BRA-596,BRA-593
BRA-596,BRA-594
BRA-1311,BRA-627
BRA-1311,BRA-601
BRA-1311,BRA-613
BRA-1311,BRA-600
BRA-593,BRA-596
BRA-593,BRA-622
BRA-593,BRA-594
BRA-627,BRA-1311
BRA-627,BRA-625
BRA-627,BRA-601
BRA-622,BRA-624
BRA-622,BRA-596
BRA-622,BRA-1313
BRA-622,BRA-593
BRA-622,BRA-621
BRA-601,BRA-1311
BRA-601,BRA-627
BRA-601,BRA-625
BRA-601,BRA-1294
BRA-601,BRA-599
BRA-601,BRA-600
BRA-601,BRA-624
BRA-625,BRA-627
BRA-625,BRA-601
BRA-625,BRA-624
BRA-624,BRA-625
BRA-624,BRA-601
BRA-624,BRA-1294
BRA-624,BRA-629
BRA-624,BRA-623
BRA-624,BRA-596
BRA-624,BRA-1313
BRA-624,BRA-622
BRA-621,BRA-1313
BRA-621,BRA-626
BRA-621,BRA-622
BRA-621,BRA-628
BRA-629,BRA-624
BRA-629,BRA-623
BRA-623,BRA-624
BRA-623,BRA-629
BRA-623,BRA-1313
BRA-628,BRA-626
BRA-628,BRA-621
BRA-1313,BRA-624
BRA-1313,BRA-623
BRA-1313,BRA-626
BRA-1313,BRA-622
BRA-1313,BRA-621
BRA-626,BRA-1313
BRA-626,BRA-628
BRA-626,BRA-621
BRA-614,BRA-612
BRA-614,BRA-613
BRA-612,BRA-614
CAN-632,USA-3515
CAN-632,CAN-633
CAN-632,CAN-631
CAN-632,CAN-635
CAN-633,USA-3518
CAN-633,USA-3515
CAN-633,USA-3519
CAN-633,CAN-632
CAN-633,USA-3563
CAN-633,CAN-636
CAN-633,CAN-635
CAN-630,USA-3514
CAN-630,USA-3516
CAN-630,CAN-682
CAN-630,CAN-631
CAN-630,CAN-634
CAN-630,CAN-635
CAN-684,CAN-685
CAN-684,USA-3561
CAN-684,CAN-683
CAN-686,CAN-683
CAN-685,CAN-684
CAN-635,CAN-633
CAN-635,CAN-630
CAN-635,CAN-632
CAN-635,CAN-631
CAN-635,CAN-636
CAN-635,CAN-634
CAN-634,CAN-630
CAN-634,CAN-631
CAN-634,CAN-635
CAN-682,USA-3550
CAN-682,USA-3560
CAN-682,USA-3559
CAN-682,USA-3562
CAN-682,USA-3514
CAN-682,CAN-630
CAN-682,CAN-683
CAN-683,USA-3559
CAN-683,USA-3540
CAN-683,USA-3538
CAN-683,USA-3561
CAN-683,CAN-682
CAN-683,CAN-684
CAN-683,CAN-686
CAN-631,USA-3515
CAN-631,USA-3516
CAN-631,CAN-630
CAN-631,CAN-632
CAN-631,CAN-634
CAN-631,CAN-635
CAN-636,CAN-633
CAN-636,USA-3563
CAN-636,CAN-635
USA-3563,CAN-633
USA-3563,CAN-636
USA-3541,USA-3542
USA-3541,USA-3544
USA-3541,USA-3543
USA-3541,USA-3551
USA-3528,USA-3535
USA-3528,USA-3536
USA-3528,USA-3544
USA-3528,USA-3533
USA-3528,USA-3551
USA-3528,USA-3531
USA-3520,USA-3524
USA-3520,USA-3521
USA-3520,USA-3523
USA-3520,USA-3522
USA-3520,USA-3526
USA-3521,USA-3520
USA-3521,USA-3523
USA-3521,USA-3525
USA-3522,USA-3520
USA-3522,USA-3524
USA-3522,USA-3533
USA-3522,USA-3530
USA-3522,USA-3526
USA-3522,USA-3532
USA-3522,USA-3527
USA-3537,USA-3539
USA-3537,USA-3513
USA-3537,USA-3559
USA-3556,USA-3552
USA-3556,USA-3557
USA-3555,USA-3557
USA-3555,USA-3560
USA-3542,USA-3541
USA-3542,USA-3543
USA-3543,USA-3542
USA-3543,USA-3541
USA-3543,USA-3545
USA-3543,USA-3549
USA-3543,USA-3551
USA-3529,USA-3531
USA-3529,USA-3546
USA-3529,USA-3532
USA-3529,USA-3534
USA-3529,USA-3553
USA-3529,USA-3514
USA-3518,USA-3523
USA-3518,USA-3526
USA-3518,USA-3527
USA-3518,USA-3525
USA-3518,USA-3515
USA-3518,USA-3519
USA-3518,CAN-633
USA-3546,USA-3548
USA-3546,USA-3531
USA-3546,USA-3547
USA-3546,USA-3529
USA-3546,USA-3553
USA-3546,USA-3562
USA-3547,USA-3548
USA-3547,USA-3546
USA-3547,USA-3550
USA-3547,USA-3562
USA-3530,USA-3533
USA-3530,USA-3531
USA-3530,USA-3522
USA-3530,USA-3532
USA-3548,USA-3552
USA-3548,USA-3551
USA-3548,USA-3531
USA-3548,USA-3554
USA-3548,USA-3546
USA-3548,USA-3547
USA-3548,USA-3550
USA-3535,USA-3536
USA-3535,USA-3544
USA-3535,USA-3528
USA-3513,USA-3537
USA-3513,USA-3539
USA-3513,USA-3559
USA-3513,USA-3540
USA-3513,USA-3538
USA-3557,USA-3552
USA-3557,USA-3556
USA-3557,USA-3555
USA-3557,USA-3554
USA-3557,USA-3560
USA-3561,USA-3538
USA-3561,CAN-684
USA-3561,CAN-683
USA-3562,USA-3546
USA-3562,USA-3547
USA-3562,USA-3550
USA-3562,USA-3553
USA-3562,USA-3514
USA-3562,CAN-682
USA-3514,USA-3529
USA-3514,USA-3534
USA-3514,USA-3553
USA-3514,USA-3562
USA-3514,USA-3516
USA-3514,CAN-682
USA-3514,CAN-630
USA-3531,USA-3528
USA-3531,USA-3533
USA-3531,USA-3551
USA-3531,USA-3548
USA-3531,USA-3530
USA-3531,USA-3546
USA-3531,USA-3532
USA-3531,USA-3529
USA-3544,USA-3535
USA-3544,USA-3541
USA-3544,USA-3528
USA-3544,USA-3551
USA-3515,USA-3527
USA-3515,USA-3534
USA-3515,USA-3518
USA-3515,USA-3516
USA-3515,CAN-633
USA-3515,CAN-632
USA-3515,CAN-631
USA-3549,USA-3552
USA-3549,USA-3543
USA-3549,USA-3545
USA-3549,USA-3551
USA-3516,USA-3534
USA-3516,USA-3514
USA-3516,USA-3515
USA-3516,CAN-630
USA-3516,CAN-631
USA-3532,USA-3531
USA-3532,USA-3530
USA-3532,USA-3522
USA-3532,USA-3529
USA-3532,USA-3527
USA-3532,USA-3534
USA-3538,USA-3513
USA-3538,USA-3540
USA-3538,USA-3561
USA-3538,CAN-683
USA-3558,USA-3560
USA-3558,USA-3559
USA-3524,USA-3536
USA-3524,USA-3520
USA-3524,USA-3533
USA-3524,USA-3522
USA-3524,USA-3526
USA-3523,USA-3520
USA-3523,USA-3521
USA-3523,USA-3526
USA-3523,USA-3525
USA-3523,USA-3518
USA-3559,USA-3558
USA-3559,USA-3560
USA-3559,USA-3537
USA-3559,USA-3513
USA-3559,USA-3540
USA-3559,CAN-682
USA-3559,CAN-683
USA-3550,USA-3548
USA-3550,USA-3554
USA-3550,USA-3547
USA-3550,USA-3560
USA-3550,USA-3562
USA-3550,CAN-682
USA-3533,USA-3536
USA-3533,USA-3524
USA-3533,USA-3528
USA-3533,USA-3531
USA-3533,USA-3530
USA-3533,USA-3522
USA-3525,USA-3521
USA-3525,USA-3523
USA-3525,USA-3518
USA-3525,USA-3519
USA-3560,USA-3557
USA-3560,USA-3555
USA-3560,USA-3554
USA-3560,USA-3550
USA-3560,USA-3558
USA-3560,USA-3559
USA-3560,CAN-682
USA-3539,USA-3537
USA-3539,USA-3513
USA-3545,USA-3543
USA-3545,USA-3549
USA-3534,USA-3532
USA-3534,USA-3529
USA-3534,USA-3527
USA-3534,USA-3514
USA-3534,USA-3515
USA-3534,USA-3516
USA-3551,USA-3552
USA-3551,USA-3544
USA-3551,USA-3541
USA-3551,USA-3543
USA-3551,USA-3528
USA-3551,USA-3549
USA-3551,USA-3548
USA-3551,USA-3531
USA-3536,USA-3535
USA-3536,USA-3524
USA-3536,USA-3528
USA-3536,USA-3533
USA-3526,USA-3520
USA-3526,USA-3524
USA-3526,USA-3523
USA-3526,USA-3522
USA-3526,USA-3527
USA-3526,USA-3518
USA-3552,USA-3557
USA-3552,USA-3556
USA-3552,USA-3549
USA-3552,USA-3551
USA-3552,USA-3548
USA-3552,USA-3554
USA-3540,USA-3513
USA-3540,USA-3559
USA-3540,USA-3538
USA-3540,CAN-683
USA-3519,USA-3525
USA-3519,USA-3518
USA-3519,CAN-633
USA-3553,USA-3546
USA-3553,USA-3529
USA-3553,USA-3562
USA-3553,USA-3514
USA-3554,USA-3552
USA-3554,USA-3557
USA-3554,USA-3548
USA-3554,USA-3550
USA-3554,USA-3560
USA-3527,USA-3522
USA-3527,USA-3526
USA-3527,USA-3532
USA-3527,USA-3534
USA-3527,USA-3518
USA-3527,USA-3515
CHN-1150,CHN-1809
CHN-1150,CHN-1151
CHN-1150,CHN-1804
CHN-1150,CHN-1803
CHN-1150,CHN-1838
CHN-1150,CHN-1756
CHN-1151,CHN-1809
CHN-1151,CHN-1662
CHN-1151,CHN-1150
CHN-1151,CHN-1756
CHN-1152,CHN-1180
CHN-1152,CHN-1810
CHN-1152,CHN-1153
CHN-1152,CHN-1808
CHN-1153,CHN-1152
CHN-1153,CHN-1810
CHN-1153,CHN-1808
CHN-1153,CHN-1809
CHN-1153,CHN-1154
CHN-1154,CHN-1153
CHN-1154,CHN-1808
CHN-1154,CHN-1809
CHN-1154,CHN-1807
CHN-1154,CHN-1804
CHN-1155,CHN-1811
CHN-1155,CHN-1816
CHN-1178,CHN-1180
CHN-1178,CHN-1817
CHN-1178,CHN-1820
CHN-1179,CHN-1807
CHN-1179,CHN-1817
CHN-1179,CHN-1820
CHN-1179,CHN-1818
CHN-1179,CHN-1814
CHN-1179,CHN-1812
CHN-1180,CHN-1178
CHN-1180,CHN-1152
CHN-1180,CHN-1808
CHN-1180,CHN-1817
CHN-1662,CHN-1810
CHN-1662,IND-3254
CHN-1662,IND-2429
CHN-1662,IND-3259
CHN-1662,IND-3299
CHN-1662,CHN-1809
CHN-1662,CHN-1151
CHN-1662,IND-20012
CHN-1662,CHN-1756
IND-3259,IND-3257
IND-3259,CHN-1662
CHN-1756,CHN-1662
CHN-1756,CHN-1151
CHN-1756,CHN-1150
CHN-1756,RUS-2400
CHN-1756,IND-20012
CHN-1803,CHN-1804
CHN-1803,CHN-1150
CHN-1803,CHN-1838
CHN-1804,CHN-1809
CHN-1804,CHN-1154
CHN-1804,CHN-1807
CHN-1804,CHN-1812
CHN-1804,CHN-1803
CHN-1804,CHN-1805
CHN-1804,CHN-1150
CHN-1804,CHN-1838
CHN-1805,CHN-1811
CHN-1805,CHN-1812
CHN-1805,CHN-1804
CHN-1805,CHN-1838
CHN-1807,CHN-1808
CHN-1807,CHN-1154
CHN-1807,CHN-1817
CHN-1807,CHN-1179
CHN-1807,CHN-1812
CHN-1807,CHN-1804
CHN-1808,CHN-1180
CHN-1808,CHN-1152
CHN-1808,CHN-1153
CHN-1808,CHN-1154
CHN-1808,CHN-1807
CHN-1808,CHN-1817
CHN-1809,CHN-1810
CHN-1809,CHN-1153
CHN-1809,CHN-1154
CHN-1809,CHN-1662
CHN-1809,CHN-1151
CHN-1809,CHN-1804
CHN-1809,CHN-1150
CHN-1810,CHN-1152
CHN-1810,CHN-1153
CHN-1810,CHN-1809
CHN-1810,CHN-1662
CHN-1811,CHN-1814
CHN-1811,CHN-1816
CHN-1811,CHN-1812
CHN-1811,CHN-1805
CHN-1811,CHN-1838
CHN-1811,CHN-1155
CHN-1811,CHN-1813
CHN-1812,CHN-1807
CHN-1812,CHN-1179
CHN-1812,CHN-1814
CHN-1812,CHN-1811
CHN-1812,CHN-1804
CHN-1812,CHN-1805
CHN-1813,CHN-1811
CHN-1813,CHN-1838
CHN-1813,CHN-1828
CHN-1814,CHN-1179
CHN-1814,CHN-1818
CHN-1814,CHN-1811
CHN-1814,CHN-1812
CHN-1816,CHN-1811
CHN-1816,CHN-1155
CHN-1817,CHN-1178
CHN-1817,CHN-1180
CHN-1817,CHN-1808
CHN-1817,CHN-1807
CHN-1817,CHN-1820
CHN-1817,CHN-1179
CHN-1818,CHN-1820
CHN-1818,CHN-1819
CHN-1818,CHN-1179
CHN-1818,CHN-1814
CHN-1819,CHN-1820
CHN-1819,CHN-1818
CHN-1820,CHN-1178
CHN-1820,CHN-1817
CHN-1820,CHN-1819
CHN-1820,CHN-1179
CHN-1820,CHN-1818
CHN-1828,CHN-1838
CHN-1828,CHN-1813
CHN-1828,RUS-2611
CHN-1828,CHN-1839
CHN-1838,CHN-1811
CHN-1838,CHN-1804
CHN-1838,CHN-1803
CHN-1838,CHN-1805
CHN-1838,CHN-1150
CHN-1838,CHN-1813
CHN-1838,CHN-1828
CHN-1838,CHN-1839
CHN-1838,RUS-2610
CHN-1839,CHN-1838
CHN-1839,CHN-1828
CHN-1839,RUS-2611
CHN-1839,RUS-2613
CHN-1839,RUS-2609
CHN-1839,RUS-2610
CHN-1839,RUS-2614
IDN-1136,IDN-381
IDN-1185,IDN-1234
IDN-1185,IDN-1931
IDN-1185,IDN-1228
IDN-1223,IDN-1224
IDN-1223,IDN-1226
IDN-1223,IDN-1227
IDN-1224,IDN-540
IDN-1224,IDN-1233
IDN-1224,IDN-1223
IDN-1225,IDN-1229
IDN-1225,IDN-1230
IDN-1225,IDN-1930
IDN-1225,IDN-539
IDN-1226,IDN-1223
IDN-1226,IDN-1227
IDN-1227,IDN-1223
IDN-1227,IDN-1226
IDN-1228,IDN-1931
IDN-1228,IDN-1185
IDN-1229,IDN-1225
IDN-1229,IDN-1230
IDN-1230,IDN-1229
IDN-1230,IDN-1225
IDN-1230,IDN-1930
IDN-1233,IDN-1224
IDN-1234,IDN-1931
IDN-1234,IDN-1185
IDN-1236,IDN-556
IDN-1236,IDN-1237
IDN-1236,IDN-557
IDN-1237,IDN-1236
IDN-1237,IDN-557
IDN-1837,IDN-557
IDN-1837,IDN-513
IDN-1930,IDN-1225
IDN-1930,IDN-1230
IDN-1930,IDN-539
IDN-1930,IDN-492
IDN-1931,IDN-1234
IDN-1931,IDN-1228
IDN-1931,IDN-1185
IDN-1933,IDN-558
IDN-381,IDN-539
IDN-381,IDN-492
IDN-381,IDN-1136
IDN-492,IDN-1930
IDN-492,IDN-539
IDN-492,IDN-381
IDN-513,IDN-1837
IDN-539,IDN-1225
IDN-539,IDN-1930
IDN-539,IDN-492
IDN-539,IDN-381
IDN-540,IDN-1224
IDN-556,IDN-1236
IDN-556,IDN-557
IDN-557,IDN-1236
IDN-557,IDN-556
IDN-557,IDN-1237
IDN-557,IDN-1837
IDN-558,IDN-1933
IND-20011,IND-2446
IND-20011,IND-2441
IND-20011,IND-2447
IND-20011,IND-2444
IND-20011,IND-3260
IND-20012,IND-2429
IND-20012,IND-2431
IND-20012,CHN-1662
IND-20012,CHN-1756
IND-2427,IND-2430
IND-2427,IND-3249
IND-2428,IND-3253
IND-2428,IND-2430
IND-2429,IND-3253
IND-2429,IND-2430
IND-2429,IND-3254
IND-2429,IND-3249
IND-2429,IND-2431
IND-2429,CHN-1662
IND-2429,IND-20012
IND-2430,IND-3250
IND-2430,IND-3253
IND-2430,IND-2428
IND-2430,IND-3254
IND-2430,IND-2427
IND-2430,IND-3249
IND-2430,IND-2429
IND-2431,IND-3249
IND-2431,IND-2429
IND-2431,IND-20012
IND-2441,IND-2446
IND-2441,IND-20011
IND-2441,IND-2444
IND-2441,IND-3263
IND-2442,IND-2446
IND-2442,IND-3263
IND-2444,IND-2441
IND-2444,IND-20011
IND-2444,IND-3260
IND-2444,IND-3257
IND-2444,IND-3256
IND-2445,IND-2447
IND-2445,IND-3264
IND-2446,IND-3265
IND-2446,IND-2441
IND-2446,IND-20011
IND-2446,IND-2447
IND-2446,IND-2442
IND-2446,IND-3263
IND-3265,IND-2446
IND-3265,IND-2447
IND-2477,IND-3300
IND-2477,IND-3301
IND-2477,IND-3257
IND-2477,IND-2478
IND-2477,IND-2489
IND-2477,IND-2479
IND-2477,IND-3299
IND-2478,IND-3300
IND-2478,IND-2477
IND-2478,IND-2479
IND-2479,IND-2478
IND-2479,IND-2477
IND-2479,IND-3299
IND-2489,IND-2477
IND-3249,IND-3250
IND-3249,IND-2430
IND-3249,IND-2427
IND-3249,IND-2429
IND-3249,IND-2431
IND-3250,IND-3264
IND-3250,IND-3261
IND-3250,IND-3253
IND-3250,IND-2430
IND-3250,IND-3249
IND-3253,IND-3260
IND-3253,IND-3256
IND-3253,IND-3261
IND-3253,IND-3258
IND-3253,IND-3250
IND-3253,IND-2428
IND-3253,IND-2430
IND-3253,IND-3254
IND-3253,IND-2429
IND-3254,IND-3253
IND-3254,IND-2430
IND-3254,IND-2429
IND-3254,CHN-1662
IND-3256,IND-2444
IND-3256,IND-3260
IND-3256,IND-3257
IND-3256,IND-3258
IND-3256,IND-3253
IND-3257,IND-2444
IND-3257,IND-2477
IND-3257,IND-3256
IND-3257,IND-3258
IND-3257,IND-3259
IND-3258,IND-3257
IND-3258,IND-3256
IND-3258,IND-3253
IND-3260,IND-20011
IND-3260,IND-2447
IND-3260,IND-2444
IND-3260,IND-3256
IND-3260,IND-3261
IND-3260,IND-3253
IND-3261,IND-2447
IND-3261,IND-3260
IND-3261,IND-3264
IND-3261,IND-3250
IND-3261,IND-3253
IND-3262,IND-3263
IND-3263,IND-3262
IND-3263,IND-2446
IND-3263,IND-2441
IND-3263,IND-2442
IND-3264,IND-2447
IND-3264,IND-2445
IND-3264,IND-3261
IND-3264,IND-3250
IND-3299,IND-2477
IND-3299,IND-2479
IND-3299,CHN-1662
IND-3300,IND-3301
IND-3300,IND-2478
IND-3300,IND-2477
IND-3301,IND-3300
IND-3301,IND-2477
RUS-2167,RUS-2403
RUS-2167,RUS-2397
RUS-2167,RUS-2398
RUS-2167,RUS-2401
RUS-2167,RUS-2603
RUS-2167,RUS-2396
RUS-2279,RUS-2371
RUS-2280,RUS-2304
RUS-2280,RUS-2306
RUS-2280,RUS-2371
RUS-2303,RUS-2305
RUS-2303,RUS-2416
RUS-2304,RUS-2305
RUS-2304,RUS-2280
RUS-2304,RUS-2306
RUS-2305,RUS-2303
RUS-2305,RUS-2416
RUS-2305,RUS-2304
RUS-2305,RUS-2306
RUS-2306,RUS-2417
RUS-2306,RUS-2305
RUS-2306,RUS-2416
RUS-2306,RUS-2304
RUS-2306,RUS-2280
RUS-2306,RUS-2371
RUS-2306,RUS-2390
RUS-2306,RUS-2367
RUS-2321,RUS-3468
RUS-2321,RUS-2615
RUS-2321,RUS-2612
RUS-2333,RUS-2336
RUS-2333,RUS-2359
RUS-2333,RUS-2354
RUS-2334,RUS-2335
RUS-2334,RUS-2358
RUS-2334,RUS-2336
RUS-2334,RUS-2359
RUS-2335,RUS-2343
RUS-2335,RUS-2334
RUS-2335,RUS-2358
RUS-2335,RUS-2336
RUS-2336,RUS-2335
RUS-2336,RUS-2334
RUS-2336,RUS-2337
RUS-2336,RUS-2359
RUS-2336,RUS-2333
RUS-2337,RUS-2336
RUS-2342,RUS-2362
RUS-2342,RUS-2366
RUS-2342,RUS-2361
RUS-2342,RUS-2343
RUS-2343,RUS-2361
RUS-2343,RUS-2342
RUS-2343,RUS-2335
RUS-2343,RUS-2364
RUS-2343,RUS-2358
RUS-2354,RUS-2384
RUS-2354,RUS-2359
RUS-2354,RUS-2333
RUS-2354,RUS-2383
RUS-2354,RUS-2381
RUS-2355,RUS-2376
RUS-2355,RUS-2357
RUS-2355,RUS-2360
RUS-2355,RUS-2356
RUS-2359,RUS-2334
RUS-2359,RUS-2358
RUS-2359,RUS-2360
RUS-2359,RUS-2336
RUS-2359,RUS-2356
RUS-2359,RUS-2384
RUS-2359,RUS-2333
RUS-2359,RUS-2354
RUS-2356,RUS-2357
RUS-2356,RUS-2355
RUS-2356,RUS-2360
RUS-2356,RUS-2384
RUS-2356,RUS-2359
RUS-2357,RUS-2374
RUS-2357,RUS-2372
RUS-2357,RUS-2389
RUS-2357,RUS-2376
RUS-2357,RUS-2385
RUS-2357,RUS-2355
RUS-2357,RUS-2356
RUS-2357,RUS-2384
RUS-2358,RUS-2343
RUS-2358,RUS-2335
RUS-2358,RUS-2334
RUS-2358,RUS-2364
RUS-2358,RUS-2360
RUS-2358,RUS-2359
